clock_model,strong_to_weak_ratio,range_information,angle_degrees,prior_weak_variance,posterior_weak_variance,relative_variance_reduction
bias_drift,100.0,10.0,15.0,4.01,0.101092774351,0.974789831833
bias_drift,100.0,10.0,30.0,4.01,0.134904633754,0.966357946695
bias_drift,100.0,10.0,45.0,4.01,0.216562335008,0.945994430173
bias_drift,100.0,10.0,60.0,4.01,0.432488060567,0.892147615819
bias_drift,100.0,10.0,75.0,4.01,1.229893122613,0.693293485633
bias_drift,100.0,10.0,90.0,4.01,4.01,0.0
bias_drift,1000.0,0.1,0.0,4.01,2.348347500305,0.414377181969
bias_drift,1000.0,0.1,15.0,4.01,2.412048028571,0.398491763449
bias_drift,1000.0,0.1,30.0,4.01,2.607656169273,0.349711678486
bias_drift,1000.0,0.1,45.0,4.01,2.940741115709,0.266648100821
bias_drift,1000.0,0.1,60.0,4.01,3.385279408625,0.155790671166
bias_drift,1000.0,0.1,75.0,4.01,3.818966798089,0.047639202472
bias_drift,1000.0,0.1,90.0,4.01,4.01,0.0
bias_drift,1000.0,1.0,0.0,4.01,0.617655571635,0.845971179143
bias_drift,1000.0,1.0,15.0,4.01,0.650059186904,0.837890477081
bias_drift,1000.0,1.0,30.0,4.01,0.760938702838,0.810239724978
bias_drift,1000.0,1.0,45.0,4.01,1.004736354327,0.749442305654
bias_drift,1000.0,1.0,60.0,4.01,1.537476993314,0.616589278475
bias_drift,1000.0,1.0,75.0,4.01,2.734457055473,0.318090509857
bias_drift,1000.0,1.0,90.0,4.01,4.01,0.0
bias_drift,1000.0,10.0,0.0,4.01,0.091607978092,0.977155117683
bias_drift,1000.0,10.0,15.0,4.01,0.098631858348,0.975403526596
bias_drift,1000.0,10.0,30.0,4.01,0.123643120073,0.969166304221
bias_drift,1000.0,10.0,45.0,4.01,0.183945821153,0.954128224151
bias_drift,1000.0,10.0,60.0,4.01,0.343579395749,0.914319352681
bias_drift,1000.0,10.0,75.0,4.01,0.957443623635,0.761236004081
bias_drift,1000.0,10.0,90.0,4.01,4.01,0.0
